Including only topk=-1 tokens.
New outer iteration, current iterations=0
vers---;Pe_.	 (1224,5634,29936,15666,5396)
0
Using 20 examples.
0 trigger=vers---;Pe_. [reward] curr=2.19 best=2.19
1 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
2 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
3 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
4 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
5 trigger=Don---3Pe_. [reward] curr=1.93 best=1.84
94 trigger=Don---|Pe/** [reward] curr=1.16 best=0.02
95 trigger=Don---|Pe/** [reward] curr=0.19 best=0.02
96 trigger=Don---|Pe/** [reward] curr=1.46 best=0.02
97 trigger=Don---|Pe/** [reward] curr=1.79 best=0.02
98 trigger=Don---|Pe/** [reward] curr=0.02 best=0.02
99 trigger=Don---|Pe/** [reward] curr=1.64 best=0.02
[dets trigger] Don---|Pe/**	 (3872,5634,29989,15666,7918)
100 trigger=Don---|Pe/** [reward] curr=0.94 best=0.02
101 trigger=Don---|Pe/** [reward] curr=0.02 best=0.02
102 trigger=Don---|Pe/** [reward] curr=0.02 best=0.02
103 trigger=Don---|Pe/** [reward] curr=0.93 best=0.02
104 trigger=Don---|Pe/** [reward] curr=0.73 best=0.02
105 trigger=Don---|Pe/** [reward] curr=0.94 best=0.02
106 trigger=Don---|Pe/** [reward] curr=1.16 best=0.02
107 trigger=Don---|Pe/** [reward] curr=0.73 best=0.02
108 trigger=Don---|Pe/** [reward] curr=1.08 best=0.02
109 trigger=Don---|Pe/** [reward] curr=1.46 best=0.02
110 trigger=Don---|Pe/** [reward] curr=1.55 best=0.02
111 trigger=Don---|Pe/** [reward] curr=0.93 best=0.02
112 trigger=Don---|Pe/** [reward] curr=0.93 best=0.02
113 trigger=Don---|Pe/** [reward] curr=0.42 best=0.02
114 trigger=Don---|Pe/** [reward] curr=1.16 best=0.02
115 trigger=Don---|Pe/** [reward] curr=1.46 best=0.02
116 trigger=Don---|Pe/** [reward] curr=0.02 best=0.02
117 trigger=Don---|Pe/** [reward] curr=1.75 best=0.02
118 trigger=Don---|Pe/** [reward] curr=1.23 best=0.02
119 trigger=Don---|Pe/** [reward] curr=1.79 best=0.02
[dets trigger] Don---|Pe/**	 (3872,5634,29989,15666,7918)
120 trigger=Don---|Pe/** [reward] curr=1.22 best=0.02
121 trigger=Don---|Pe/** [reward] curr=0.33 best=0.02
122 trigger=Don---|Pe/** [reward] curr=1.75 best=0.02
123 trigger=Don---|Pe/** [reward] curr=1.55 best=0.02
124 trigger=Don---|Pe/** [reward] curr=1.79 best=0.02
125 trigger=Don---|Pe/** [reward] curr=0.02 best=0.02
126 trigger=Don---|Pe/** [reward] curr=0.02 best=0.02
127 trigger=Don---|Pe/** [reward] curr=0.93 best=0.02
128 trigger=Don---|Pe/** [reward] curr=1.91 best=0.02
129 trigger=Don---|Pe/** [reward] curr=0.92 best=0.02
130 trigger=Don---|Pe/** [reward] curr=0.02 best=0.02
131 trigger=Don---|Pe/** [reward] curr=1.70 best=0.02
132 trigger=Don_.|Pe/** [reward] curr=-4.92 best=-4.92
133 trigger=hol_.|Pe/** [reward] curr=-5.01 best=-5.01
134 trigger=hol_.|Pe/** [reward] curr=-5.01 best=-5.01
135 trigger=hol_.|Pe/** [reward] curr=-3.48 best=-5.01
136 trigger=hol_.|Pe/** [reward] curr=-4.84 best=-5.01
137 trigger=hol_.|9/** [reward] curr=-5.77 best=-5.77
138 trigger=hol_.|9/** [reward] curr=1.89 best=-5.77
139 trigger=hol_.|9/** [reward] curr=-5.77 best=-5.77
[dets trigger] hol_.|9/**	 (8753,5396,29989,29929,7918)
140 trigger=accur_.|9/** [reward] curr=-6.05 best=-6.05
141 trigger=accur_.|9/** [reward] curr=-5.52 best=-6.05
142 trigger=accur_.|9/** [reward] curr=-5.86 best=-6.05
